pl_hostname,pl_name,ra,dec,st_dist,st_optmag
Kepler-194,Kepler-194 c,291.971445,47.864174,1218,14.915
Kepler-194,Kepler-194 d,291.971445,47.864174,1218,14.915
Kepler-195,Kepler-195 b,288.120962,47.966667,649,14.813
Kepler-195,Kepler-195 c,288.120962,47.966667,649,14.813
Kepler-196,Kepler-196 b,284.968519,42.079205,452,14.157
Kepler-196,Kepler-196 c,284.968519,42.079205,452,14.157
Kepler-197,Kepler-197 b,295.226435,50.559006,341,11.811
Kepler-197,Kepler-197 c,295.226435,50.559006,341,11.811
Kepler-197,Kepler-197 d,295.226435,50.559006,341,11.811
Kepler-197,Kepler-197 e,295.226435,50.559006,341,11.811
Kepler-198,Kepler-198 b,290.67313,38.691011,512,13.597
Kepler-198,Kepler-198 c,290.67313,38.691011,512,13.597
Kepler-198,Kepler-198 d,290.67313,38.691011,512,13.597
Kepler-199,Kepler-199 b,295.559419,40.236271,493,13.595
Kepler-199,Kepler-199 c,295.559419,40.236271,493,13.595
Kepler-20,Kepler-20 b,287.698004,42.338726,290,12.51
Kepler-20,Kepler-20 c,287.698004,42.338726,290,12.51
Kepler-20,Kepler-20 d,287.698004,42.338726,290,12.51
Kepler-20,Kepler-20 e,287.698004,42.338726,290,12.51
Kepler-20,Kepler-20 f,287.698004,42.338726,290,12.51
