pl_hostname,pl_name,ra,dec,st_dist,st_optmag
Kepler-361,Kepler-361 c,296.803453,46.741154,800,13.573
Kepler-362,Kepler-362 b,291.771639,47.529903,658,14.5
Kepler-362,Kepler-362 c,291.771639,47.529903,658,14.5
Kepler-363,Kepler-363 b,283.192081,41.305393,606,13.353
Kepler-363,Kepler-363 c,283.192081,41.305393,606,13.353
Kepler-363,Kepler-363 d,283.192081,41.305393,606,13.353
Kepler-364,Kepler-364 b,281.569933,47.398697,941,13.66
Kepler-364,Kepler-364 c,281.569933,47.398697,941,13.66
Kepler-365,Kepler-365 b,295.626598,49.130436,950,14.651
Kepler-365,Kepler-365 c,295.626598,49.130436,950,14.651
Kepler-366,Kepler-366 b,296.852042,49.084446,1156,14.842
Kepler-366,Kepler-366 c,296.852042,49.084446,1156,14.842
Kepler-367,Kepler-367 b,297.292418,49.981632,198,12.879
Kepler-367,Kepler-367 c,297.292418,49.981632,198,12.879
Kepler-368,Kepler-368 b,291.880046,45.387936,488,12.848
Kepler-368,Kepler-368 c,291.880046,45.387936,488,12.848
Kepler-369,Kepler-369 b,293.674235,47.908467,214,15.673
Kepler-369,Kepler-369 c,293.674235,47.908467,214,15.673
Kepler-37,Kepler-37 b,284.05966,44.518131,66,9.705
Kepler-37,Kepler-37 c,284.05966,44.518131,66,9.705
Kepler-37,Kepler-37 d,284.05966,44.518131,66,9.705
Kepler-37,Kepler-37 e,284.05966,44.518131,66,9.705
Kepler-370,Kepler-370 b,292.171121,40.916306,1078,15.198
Kepler-370,Kepler-370 c,292.171121,40.916306,1078,15.198
Kepler-371,Kepler-371 b,292.326464,38.657588,603,13.865
Kepler-371,Kepler-371 c,292.326464,38.657588,603,13.865
Kepler-372,Kepler-372 b,291.256195,49.258953,1378,14.881
Kepler-372,Kepler-372 c,291.256195,49.258953,1378,14.881
Kepler-372,Kepler-372 d,291.256195,49.258953,1378,14.881
Kepler-373,Kepler-373 b,289.387993,50.59705,718,14.514
Kepler-373,Kepler-373 c,289.387993,50.59705,718,14.514
Kepler-374,Kepler-374 b,294.13793,42.370502,978,14.686
Kepler-374,Kepler-374 c,294.13793,42.370502,978,14.686
Kepler-374,Kepler-374 d,294.13793,42.370502,978,14.686
Kepler-375,Kepler-375 b,288.617907,48.098416,1209,15.699
Kepler-375,Kepler-375 c,288.617907,48.098416,1209,15.699
Kepler-376,Kepler-376 b,291.607165,38.410386,806,13.776
Kepler-376,Kepler-376 c,291.607165,38.410386,806,13.776
Kepler-377,Kepler-377 b,295.422002,38.735691,791,13.86
Kepler-377,Kepler-377 c,295.422002,38.735691,791,13.86
Kepler-378,Kepler-378 b,294.948588,46.438641,155,12.485
Kepler-378,Kepler-378 c,294.948588,46.438641,155,12.485
Kepler-379,Kepler-379 b,295.701103,38.945831,719,13.358
Kepler-379,Kepler-379 c,295.701103,38.945831,719,13.358
Kepler-38,Kepler-38 b,286.830353,42.279205,600,13.941
Kepler-380,Kepler-380 b,282.394616,48.75914,741,13.652
Kepler-380,Kepler-380 c,282.394616,48.75914,741,13.652
Kepler-381,Kepler-381 b,285.182787,43.831089,368,10.421
Kepler-381,Kepler-381 c,285.182787,43.831089,368,10.421
Kepler-382,Kepler-382 b,299.136166,45.869934,684,14.623
Kepler-382,Kepler-382 c,299.136166,45.869934,684,14.623
Kepler-383,Kepler-383 b,291.342584,38.363134,470,15.07
Kepler-383,Kepler-383 c,291.342584,38.363134,470,15.07
