loc_rowid,epic_name,ra,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
46,EPIC 201257461,178.161102,-3.094936,50.285869,,,0,2456828.355,,,0,,,,,,,,,0.05345,,,0,3.47,,,0,0.74,,,0,11.511,,0,9.368,0.023,0
47,EPIC 201264302,169.598007,-2.991577,0.212194,0.000026,-0.000026,0,2456812.4,0.00064,-0.00063,0,83.3,4.8,-8.9,0,3.6,0.9,-0.8,0,0.0271,0.004,-0.002,0,0.77,0.18,-0.18,0,0.26,0.05,-0.05,0,13.879,,0,10.357,0.021,0
48,EPIC 201264302,169.598007,-2.991577,0.21219899,,,0,2456810.278,,,0,,,,,,,,,0.02488,,,0,1.05,,,0,0.37,,,0,13.879,,0,10.357,0.021,0
49,EPIC 201270176,170.132599,-2.902582,1.57771549,,,0,2456818.327,,,0,,,,,,,,,,,,,,,,,,,,,12.452,,0,10.401,0.023,0
50,EPIC 201270176,170.132599,-2.902582,1.5778643,,,0,2456810.434,,,0,,,,,,,,,0.115,,,0,7.55,,,0,0.73,,,0,12.452,,0,10.401,0.023,0
51,EPIC 201270464,170.133484,-2.898169,1.57771549,,,0,2456818.328,,,0,,,,,,,,,,,,,,,,,,,,,9.392,,0,8.438,0.023,0
52,EPIC 201274010,183.309296,-2.844149,13.0113,0.0052,-0.00422,0,2457589.515,0.0086,-0.0123,0,,,,,26.7,5.8,-6.3,0,0.0255,0.0025,-0.0024,0,2.43,0.25,-0.24,0,,,,,13.902,,0,12.194,0.027,0
53,EPIC 201291843,178.420837,-2.571776,40.70206194,,,0,2456823.295,,,0,,,,,,,,,,,,,,,,,,,,,13.679,,0,10.591,0.025,0
58,EPIC 201299088,182.204697,-2.464518,21.204739,0.005348,-0.005523,0,2457600.343,0.008145,-0.007958,0,83.49,1.123,-0.979,0,7.257597,0.895991,-0.66207,0,0.04741,0.00197,-0.00184,0,9.11,1.164,-0.951,0,1.76,0.21,-0.17,0,11.751,,0,9.8,0.021,0
59,EPIC 201324549,171.235916,-2.085164,2.51881781,,,0,2456820.076,,,0,,,,,,,,,,,,,,,,,,,,,12.146,,0,10.89,0.026,0
60,EPIC 201324549,171.235916,-2.085164,2.5194078,,,0,2456812.512,,,0,,,,,,,,,0.04461,,,0,7.99,,,0,1.72,,,0,12.146,,0,10.89,0.026,0
70,EPIC 201352100,184.035294,-1.673686,13.38382,0.00116,-0.00114,0,2457594.79,0.0032,-0.0033,0,,,,,33.9,2.8,-7,0,0.0326,0.002,-0.0011,0,2.7,0.17,-0.1,0,,,,,12.798,,0,10.708,0.021,0
71,EPIC 201352100,184.035294,-1.673686,13.383629,0.00076,-0.000727,0,2457594.792,0.001985,-0.002149,0,89.247,0.533,-0.914,0,34.93315,3.951607,-8.962793,0,0.03231,0.00186,-0.00145,0,2.873,0.191,-0.143,0,0.82,0.03,-0.02,0,12.798,,0,10.708,0.021,0
