loc_rowid,st_teff,st_rad,st_lum,st_lum_utl,st_dist,hz_inner_au,hz_outer_au,hz_center_au,hz_inner_mas,hz_outer_mas,hz_center_mas,RA,Dec
773,5000,0.763,,0.32826,166.93,0.4297,1.0141,0.5729,2.574,6.075,3.432,12.773741,-1.195891
774,5755,1.178,,1.37253,586.87,0.8787,2.0736,1.1715,1.497,3.533,1.996,17.382523,-0.51762
775,5890,1.078,,1.26082,409.95,0.8421,1.9875,1.1229,2.054,4.848,2.739,15.217487,0.425996
776,5043,0.758,,0.33531,246.14,0.4343,1.0249,0.5791,1.764,4.164,2.353,11.256313,0.593257
777,5522,0.928,,0.72265,366.84,0.6376,1.5047,0.8501,1.738,4.102,2.317,11.699704,0.640796
778,5582,0.862,,0.65139,258.76,0.6053,1.4285,0.8071,2.339,5.521,3.119,20.779097,0.889177
779,4720,0.712,,0.22723,76.67,0.3575,0.8437,0.4767,4.663,11.005,6.218,14.690681,1.383812
780,4222.1,0.647,,0.11993,83.85,0.2597,0.613,0.3463,3.098,7.31,4.13,340.30368,-14.488987
781,5396,0.852,,0.55494,177.39,0.5587,1.3186,0.7449,3.15,7.433,4.199,17.640936,1.578266
782,5221,0.816,,0.44607,274.39,0.5009,1.1822,0.6679,1.826,4.308,2.434,21.105953,1.704954
783,4272,0.65,,0.12695,109.32,0.2672,0.6307,0.3563,2.444,5.769,3.259,18.423407,3.096936
784,5794,1.204,,1.47447,394.05,0.9107,2.1493,1.2143,2.311,5.454,3.082,13.140305,3.507705
785,5854,1.27,,1.70889,303.28,0.9804,2.3138,1.3072,3.233,7.629,4.31,14.876077,4.227798
786,5704,0.974,,0.90675,408.67,0.7142,1.6855,0.9522,1.748,4.124,2.33,18.470087,6.123902
787,4503,0.72,0.19,0.19,115.94,0.3269,0.7715,0.4359,2.82,6.655,3.76,11.480249,6.346971
788,5967,1.334,,2.03446,386.01,1.0698,2.5246,1.4263,2.771,6.54,3.695,11.298392,6.481562
789,5757,1.008,,1.0074,398.41,0.7528,1.7765,1.0037,1.889,4.459,2.519,12.809659,6.84646
790,5753,1.189,,1.39768,328.42,0.8867,2.0926,1.1822,2.7,6.372,3.6,12.845309,8.86764
791,3830,0.57,,0.06307,245.53,0.1884,0.4445,0.2511,0.767,1.81,1.023,169.482819,2.61907
792,5660,1.02,,0.9633,234.92,0.7361,1.7372,0.9815,3.133,7.395,4.178,12.769862,9.516806
793,5716,0.948,,0.8648,321.63,0.6975,1.646,0.9299,2.168,5.118,2.891,16.654982,10.189687
794,6058,1.09,,1.44367,101.59,0.9011,2.1267,1.2015,8.87,20.934,11.827,16.46228,11.753423
795,5835,0.99,,1.02502,201.1,0.7593,1.792,1.0124,3.776,8.911,5.034,185.306152,-10.282037
796,5620,0.84,,0.63504,277.7,0.5977,1.4105,0.7969,2.152,5.079,2.87,189.704086,-10.060654
797,5742,1.7,,2.83431,360.3,1.2627,2.9799,1.6835,3.504,8.271,4.673,186.54129,-9.624804
798,5424,0.91,,0.64663,211.2,0.6031,1.4233,0.8041,2.856,6.739,3.807,183.645752,-9.562642
799,5673,0.891,,0.74127,188.22,0.6457,1.5239,0.861,3.431,8.097,4.574,190.948471,-8.478236
800,4715,0.65,,0.18839,142.4,0.3255,0.7682,0.434,2.286,5.395,3.048,187.294785,-6.834258
801,5315,0.79,,0.44933,103.8,0.5027,1.1865,0.6703,4.843,11.43,6.458,186.87326,-6.721861
802,5945,1.39,,2.17738,548.9,1.1067,2.6118,1.4756,2.016,4.758,2.688,191.363205,-6.576109
803,5695,0.95,,0.85648,295,0.6941,1.6381,0.9255,2.353,5.553,3.137,289.091827,-15.771108
804,6154,1.161,1.73,1.73,131.21,0.9865,2.3281,1.3153,7.518,17.743,10.024,73.76651,18.654535
805,4950,0.745,0.3,0.3,67.64,0.4108,0.9695,0.5477,6.074,14.334,8.098,230.47998,-20.231684
806,6257,1.43,,2.8277,458,1.2612,2.9764,1.6816,2.754,6.499,3.672,253.76889,-28.710564
807,5630,1.59,,2.29152,453,1.1353,2.6794,1.5138,2.506,5.915,3.342,347.704346,-7.857499
808,3420,0.36,0.016,0.016,49,0.0949,0.2239,0.1265,1.936,4.569,2.581,160.594299,4.441349
809,5625,1.16,,1.21535,171.39,0.8268,1.9513,1.1024,4.824,11.385,6.432,242.573715,-24.990332
810,3810,0.54,0.053,0.053,70,0.1727,0.4075,0.2302,2.467,5.821,3.289,227.849609,-17.875217
811,5262,0.75,,0.38907,149.6,0.4678,1.104,0.6238,3.127,7.38,4.169,181.239365,-6.804924
812,3459,0.37,,0.01768,109.6,0.0997,0.2354,0.133,0.91,2.147,1.213,179.835907,-6.517851
813,6570,1.39,,3.24779,269.2,1.3516,3.1898,1.8022,5.021,11.849,6.695,181.121399,-4.899185
814,5677,0.92,,0.79314,214,0.6679,1.5763,0.8906,3.121,7.366,4.162,183.468918,-3.831868
815,5793,1.25,,1.58756,463.4,0.945,2.2302,1.26,2.039,4.813,2.719,185.181686,-1.590889
816,5610,0.94,,0.78959,723.1,0.6664,1.5728,0.8886,0.922,2.175,1.229,181.629715,-1.16056
817,4667,0.69,,0.20377,260.2,0.3386,0.799,0.4514,1.301,3.071,1.735,188.893692,-10.069232
818,5528,0.92,,0.71309,410.5,0.6333,1.4947,0.8444,1.543,3.641,2.057,182.817245,-9.414005
819,6504,1.57,,3.97941,528.3,1.4961,3.5309,1.9948,2.832,6.683,3.776,183.366669,-8.995114
820,3180,0.295,0.0084,0.0084,45.01,0.0687,0.1622,0.0917,1.527,3.604,2.036,63.273434,15.247763
821,5172,0.81,,0.42355,417.6,0.4881,1.1519,0.6508,1.169,2.758,1.558,185.031769,-8.975785
822,3717,0.49,,0.04135,147.7,0.1525,0.3599,0.2033,1.033,2.437,1.377,190.689224,-8.53592
823,5152,0.82,,0.42739,229.9,0.4903,1.1571,0.6538,2.133,5.033,2.844,182.366364,-8.30952
824,6027,1.1,,1.44041,901.8,0.9001,2.1243,1.2002,0.998,2.356,1.331,186.085403,-6.378884
825,4629,0.67,,0.18595,229.4,0.3234,0.7633,0.4312,1.41,3.327,1.88,185.550751,-4.717236
826,4676,0.69,,0.20535,192.4,0.3399,0.8021,0.4532,1.766,4.169,2.355,189.912994,-3.370542
827,5219,0.78,,0.40723,580.5,0.4786,1.1295,0.6381,0.824,1.946,1.099,186.227158,-2.065931
828,3725,0.5,,0.04343,64.1,0.1563,0.3688,0.2084,2.438,5.754,3.251,188.278488,-1.953159
829,6351,1.31,,2.51888,675.2,1.1903,2.8092,1.5871,1.763,4.16,2.351,187.631332,-1.16092
830,6059,1.13,,1.55259,422.1,0.9345,2.2055,1.246,2.214,5.225,2.952,186.802689,1.566849
831,3785,0.52,0.049,0.049,99.33,0.166,0.3918,0.2214,1.671,3.944,2.229,94.206581,24.596411
832,6367,1.69,,4.23457,676.32,1.5434,3.6423,2.0578,2.282,5.386,3.043,76.867325,16.867718
833,5537,1.65,,2.30867,214.58,1.1396,2.6894,1.5194,5.311,12.533,7.081,163.032425,0.493352
834,5368,0.85,0.55,0.55,163.23,0.5562,1.3127,0.7416,3.408,8.042,4.543,129.682388,15.680626
835,3660,0.473,,0.03622,187,0.1427,0.3369,0.1903,0.763,1.801,1.018,131.358566,19.698462
836,5477,0.977,,0.77492,139.22,0.6602,1.5581,0.8803,4.742,11.192,6.323,342.031525,-14.494689
837,4285,0.703,0.1502,0.1502,77.16,0.2907,0.686,0.3876,3.767,8.89,5.023,157.93544,0.937571
838,5068,0.78,,0.3621,331.46,0.4513,1.0651,0.6018,1.362,3.213,1.815,133.709549,11.848265
839,6209,1.45,,2.81916,362.07,1.2593,2.9719,1.679,3.478,8.208,4.637,130.155167,13.014676
840,5248,0.885,,0.53599,251.43,0.5491,1.2958,0.7321,2.184,5.154,2.912,171.515167,1.230738
841,4877,0.77,,0.30261,283.53,0.4126,0.9737,0.5501,1.455,3.434,1.94,131.266602,13.549833
842,5644,0.99,,0.89725,571.47,0.7104,1.6766,0.9472,1.243,2.934,1.658,125.223885,16.090946
843,5419,0.81,,0.51044,426.57,0.5358,1.2646,0.7144,1.256,2.965,1.675,132.621124,17.542444
844,5200,0.84,,0.46545,310.6,0.5117,1.2076,0.6822,1.647,3.888,2.197,129.777054,19.010023
845,5065,0.74,,0.32515,232.82,0.4277,1.0093,0.5702,1.837,4.335,2.449,129.28244,20.399372
846,4812,0.73,,0.25778,124.09,0.3808,0.8987,0.5077,3.069,7.242,4.092,132.169891,20.455076
847,5139,0.85,,0.45462,489.88,0.5057,1.1934,0.6743,1.032,2.436,1.376,125.952751,22.634024
848,5741,0.97,,0.92213,113.53,0.7202,1.6997,0.9603,6.344,14.971,8.458,202.016632,-15.93782
849,6747,1.61,,4.84609,804.13,1.651,3.8964,2.2014,2.053,4.846,2.738,203.301773,-14.504056
850,5558,0.86,,0.63675,183.8,0.5985,1.4124,0.798,3.256,7.684,4.341,204.779724,-6.041594
851,3214,0.288,,0.00798,63.11,0.067,0.1582,0.0894,1.062,2.506,1.416,335.62439,-7.955366
852,5742,1.28,,1.60683,396.9,0.9507,2.2437,1.2676,2.395,5.653,3.194,291.595337,-22.247662
853,4812,0.76,,0.2794,466.11,0.3964,0.9356,0.5286,0.851,2.007,1.134,16.22735,7.269234
854,5523,0.94,,0.74174,502.28,0.6459,1.5244,0.8612,1.286,3.035,1.715,13.432017,7.995316
855,5060,0.82,,0.39767,408.24,0.473,1.1162,0.6306,1.159,2.734,1.545,13.194414,9.692924
856,4140,0.607,0.097,0.097,107.6,0.2336,0.5513,0.3114,2.171,5.123,2.894,79.140686,20.255108
857,4975,0.787,,0.34231,155.65,0.4388,1.0356,0.5851,2.819,6.653,3.759,349.384277,1.30029
858,3926,0.62,0.09,0.09,76.32,0.225,0.531,0.3,2.948,6.958,3.931,233.369568,-16.773256
859,5695,1.07,,1.08652,159.05,0.7818,1.845,1.0424,4.915,11.6,6.554,233.074341,-22.358261
860,3341,0.32,0.01175,0.01175,65.72,0.0813,0.1919,0.1084,1.237,2.919,1.649,55.443439,18.268902
861,5529,1.025,,0.88579,270.7,0.7059,1.6659,0.9412,2.608,6.154,3.477,246.643036,-15.792386
862,5358,0.86,,0.54993,179.39,0.5562,1.3126,0.7416,3.1,7.317,4.134,62.670647,24.402042
863,6302,1.511,,3.24892,274.99,1.3519,3.1904,1.8025,4.916,11.602,6.555,234.857773,-20.198818
864,5520,0.899,0.682,0.682,90.29,0.6194,1.4617,0.8258,6.86,16.19,9.147,76.445793,21.54863
865,3896,0.56,,0.06519,44.13,0.1915,0.4519,0.2553,4.339,10.241,5.786,172.334946,-1.454787
866,5425,0.844,0.554,0.554,336.26,0.5582,1.3174,0.7443,1.66,3.918,2.214,52.341961,22.299404
867,5280,0.78,,0.4266,110.87,0.4899,1.1561,0.6531,4.418,10.427,5.891,245.44075,-23.547865
868,5275,0.845,,0.49877,158.39,0.5297,1.25,0.7062,3.344,7.892,4.459,252.426086,-19.542822
869,3540,1.05,0.15,0.15,139.8,0.2905,0.6855,0.3873,2.078,4.904,2.77,242.561401,-19.319273
870,6071,1.44,,2.54134,352.34,1.1956,2.8217,1.5942,3.393,8.008,4.524,127.578773,22.235909
871,4402.7,0.62,,0.13013,254.43,0.2705,0.6385,0.3607,1.063,2.51,1.418,170.103088,1.285956
872,4924,0.74,,0.29042,110.09,0.4042,0.9539,0.5389,3.671,8.664,4.895,169.449066,3.866393
873,5413,0.85,,0.55961,180.86,0.5611,1.3241,0.7481,3.102,7.321,4.136,243.451004,-24.787062
874,5757,1.38,,1.8873,193.71,1.0303,2.4316,1.3738,5.319,12.553,7.092,240.033585,-23.189287
875,4881,2.97,,4.51695,310.14,1.594,3.7618,2.1253,5.14,12.13,6.853,338.368378,-9.022769
876,4014.7,0.569,,0.07598,233.37,0.2067,0.4879,0.2756,0.886,2.091,1.181,174.745636,-3.905585
877,4613,0.643,,0.16891,401.36,0.3082,0.7274,0.411,0.768,1.812,1.024,176.665726,-5.171913
878,3889.7,0.587,,0.07127,183.48,0.2002,0.4725,0.267,1.091,2.575,1.455,169.117142,-3.97544
879,5912,1.58,,2.75137,483.19,1.244,2.9359,1.6587,2.575,6.076,3.433,174.011627,-2.520881
880,4103,0.445,,0.05063,502.34,0.1688,0.3983,0.225,0.336,0.793,0.448,169.632874,-1.77413
881,6256,1.29,,2.29966,454.93,1.1373,2.6841,1.5165,2.5,5.9,3.333,174.266342,-0.907261
882,5054,0.76,,0.33999,353.38,0.4373,1.0321,0.5831,1.238,2.921,1.65,168.582596,2.780711
883,4899,0.73,,0.27693,316.61,0.3947,0.9314,0.5262,1.247,2.942,1.662,176.12355,3.272425
884,4175,0.45,,0.05551,463.06,0.1767,0.417,0.2356,0.382,0.901,0.509,177.320206,3.475569
885,3930,0.57,,0.06992,204.12,0.1983,0.468,0.2644,0.972,2.293,1.295,169.303497,-1.877976
886,4326,0.546,,0.0942,259.33,0.2302,0.5432,0.3069,0.888,2.095,1.184,169.483627,5.988378
887,7147,2.192,,11.31027,1041.7,2.5223,5.9526,3.3631,2.421,5.714,3.228,246.61142,-24.969948
888,5263,0.807,,0.45079,139.1,0.5036,1.1884,0.6714,3.62,8.543,4.827,244.141815,-20.400534
889,3798,0.384,,0.02768,175.84,0.1248,0.2945,0.1664,0.71,1.675,0.946,338.054199,-17.543995
890,4456,0.63,,0.14118,160.26,0.2818,0.665,0.3757,1.758,4.15,2.345,333.751923,-17.250708
891,4434,0.621,,0.13448,266.23,0.275,0.6491,0.3667,1.033,2.438,1.377,342.691711,-14.069886
892,5413,0.86,,0.57286,182.69,0.5677,1.3397,0.7569,3.107,7.333,4.143,333.821808,-14.049808
893,5055,0.731,,0.31479,314.09,0.4208,0.9931,0.5611,1.34,3.162,1.786,338.942352,-14.027745
894,5850,0.96,,0.97378,319.59,0.7401,1.7466,0.9868,2.316,5.465,3.088,178.192261,-1.198477
895,5500,1.12,,1.03558,498.7,0.7632,1.8012,1.0176,1.53,3.612,2.041,338.606171,-13.731702
896,6293,1.36,,2.61701,410.35,1.2133,2.8634,1.6177,2.957,6.978,3.942,339.674744,-13.560024
897,4880,0.73,,0.27266,112.83,0.3916,0.9242,0.5222,3.471,8.191,4.628,334.364166,-12.187498
898,6771,1.63,,5.03829,524.41,1.6835,3.973,2.2446,3.21,7.576,4.28,333.426666,-12.066374
899,5312,0.726,,0.37862,506.87,0.4615,1.0891,0.6153,0.91,2.149,1.214,332.413605,-11.428742
900,5213,0.84,,0.47012,78.06,0.5142,1.2136,0.6857,6.588,15.547,8.784,333.211761,-10.925379
901,5887,1.67,,3.02208,520.43,1.3038,3.077,1.7384,2.505,5.912,3.34,331.526703,-10.711549
902,4746,0.675,,0.20855,169.47,0.3425,0.8083,0.4567,2.021,4.77,2.695,334.019775,-10.567318
903,4127,0.491,,0.0631,181.63,0.1884,0.4446,0.2512,1.037,2.448,1.383,335.759552,-10.48858
904,5772,0.96,,0.92288,754.64,0.7205,1.7004,0.9607,0.955,2.253,1.273,167.093765,-1.065755
905,5622,0.93,,0.77952,234.47,0.6622,1.5627,0.8829,2.824,6.665,3.766,338.4758,-10.084946
906,4006,0.426,,0.04217,153.86,0.154,0.3635,0.2053,1.001,2.362,1.335,341.724426,-9.881619
907,3360.5,0.331,,0.0126,66.56,0.0842,0.1987,0.1123,1.265,2.986,1.687,334.621979,-9.612382
908,5922,1.06,,1.24676,271.27,0.8374,1.9764,1.1166,3.087,7.286,4.116,335.025482,-9.056093
909,6060,0.98,,1.16853,381.85,0.8107,1.9133,1.081,2.123,5.011,2.831,339.919342,-8.714505
910,5995,1.56,,2.83598,570.86,1.263,2.9807,1.684,2.213,5.222,2.95,338.844849,-7.469853
911,4970,0.76,0.316,0.316,142.31,0.4216,0.995,0.5621,2.963,6.992,3.95,55.228428,12.572612
912,5926,1.28,,1.8229,257.9,1.0126,2.3898,1.3501,3.926,9.266,5.235,55.255905,13.519372
913,4870,0.74,,0.27789,407.93,0.3954,0.9331,0.5272,0.969,2.287,1.292,169.793671,-0.284375
914,5441,0.87,,0.59848,201.96,0.5802,1.3693,0.7736,2.873,6.78,3.831,59.037487,13.559289
915,4674.1,0.635,,0.17345,254.14,0.3124,0.7372,0.4165,1.229,2.901,1.639,57.485489,14.5022
916,3910,0.424,,0.03791,125.98,0.146,0.3446,0.1947,1.159,2.735,1.545,59.901562,15.558886
917,5652,0.93,,0.79629,287.23,0.6693,1.5795,0.8924,2.33,5.499,3.107,55.809273,16.634548
918,4268,0.507,,0.07695,97.49,0.208,0.491,0.2774,2.134,5.036,2.845,59.464394,18.465254
919,5482,0.76,,0.47063,260.61,0.5145,1.2143,0.686,1.974,4.659,2.632,51.552799,18.635616
920,5747,1.401,,1.93169,503.6,1.0424,2.46,1.3899,2.07,4.885,2.76,66.236221,18.827417
921,3537,0.256,,0.00925,110.91,0.0721,0.1703,0.0962,0.651,1.535,0.867,54.751598,19.120178
922,3691,0.318,,0.01693,86.25,0.0976,0.2303,0.1301,1.132,2.67,1.509,57.066715,20.459639
923,3390,0.31,0.012,0.012,83.16,0.0822,0.1939,0.1095,0.988,2.332,1.317,176.264465,0.005301
924,4484,0.619,,0.13975,134.9,0.2804,0.6617,0.3738,2.078,4.905,2.771,59.152405,22.472631
925,3622,0.284,,0.01252,62.69,0.0839,0.1981,0.1119,1.339,3.16,1.785,63.218063,24.205112
926,3548,0.42,,0.02522,180.63,0.1191,0.2811,0.1588,0.659,1.556,0.879,129.362747,18.976685
927,4717,4.47,,8.92432,869.76,2.2405,5.2876,2.9874,2.576,6.079,3.435,127.762833,10.847586
928,6172,1.57,,3.22701,526.31,1.3473,3.1796,1.7964,2.56,6.041,3.413,126.488289,11.511145
929,6217,2.63,,9.32249,522.29,2.29,5.4043,3.0533,4.384,10.347,5.846,208.773743,-5.442466
930,6518,1.462,3.48,3.48,262,1.3991,3.3019,1.8655,5.34,12.603,7.12,0.362142,39.383808
931,5948,1.209,1.65,1.65,183,0.9634,2.2736,1.2845,5.264,12.424,7.019,284.548373,-47.003242
932,5375,2.69,,5.44898,98,1.7507,4.1317,2.3343,17.865,42.16,23.819,161.70726,-9.399025
933,6279,2.37,7.8,7.8,360,2.0946,4.9433,2.7928,5.818,13.732,7.758,267.640503,36.570232
934,5720,1.52,,2.23135,266,1.1203,2.644,1.4938,4.212,9.94,5.616,108.301485,-42.409744
935,6003,1.78,,3.71202,291,1.445,3.4102,1.9267,4.966,11.719,6.621,117.415037,-52.120453
936,6236,1.36,2.52,2.52,450.28,1.1906,2.8098,1.5875,2.644,6.24,3.525,314.268494,31.661034
937,7454,1.645,7.51,7.51,210,2.0553,4.8506,2.7404,9.787,23.098,13.05,125.617523,13.735319
938,6670,1.908,6.5,6.5,311,1.9121,4.5126,2.5495,6.148,14.51,8.198,216.524017,59.444275
939,7500,1.83,9.5,9.5,302.8,2.3117,5.4555,3.0822,7.634,18.017,10.179,111.509499,7.615806
940,6327,1.93,,5.38521,134.57,1.7405,4.1075,2.3206,12.933,30.522,17.244,92.663948,30.957144
941,8720,1.565,12.7,12.7,139.7,2.6728,6.3078,3.5637,19.132,45.152,25.51,294.661407,31.219225
942,7598,1.638,8.03,8.03,415,2.1253,5.0157,2.8337,5.121,12.086,6.828,304.800049,32.581039
943,6304,1.7,,4.11774,178,1.5219,3.5917,2.0292,8.55,20.178,11.4,148.643324,40.388069
944,6206,1.603,3.43,3.43,210,1.389,3.2781,1.852,6.614,15.61,8.819,157.062546,25.573189
945,6102,1.73,,3.7435,222,1.4511,3.4246,1.9348,6.537,15.426,8.715,195.981868,30.640051
946,6768,1.81,,6.20148,129,1.8677,4.4078,2.4903,14.478,34.169,19.304,78.295532,33.318165
947,5754,1.46,,2.10805,236,1.0889,2.5699,1.4519,4.614,10.889,6.152,283.30551,24.12738
948,10170,2.362,53,53,188.7,5.4601,12.8858,7.2801,28.935,68.287,38.58,307.859802,39.938828
949,27500,,,,1758.47,,,,,,,287.389188,46.984489
950,6091,1.01,,1.26676,1464.12,0.8441,1.9921,1.1255,0.577,1.361,0.769,287.378077,47.771187
951,6175,1.01,,1.3381,1215.64,0.8676,2.0475,1.1568,0.714,1.684,0.952,294.949847,38.605197
952,6340,1.24,,2.24129,848,1.1228,2.6499,1.4971,1.324,3.125,1.765,288.474857,40.651357
953,6258,1.52,,3.19688,742.54,1.341,3.1647,1.788,1.806,4.262,2.408,288.991582,41.223038
954,7067,,9.9,9.9,1382.51,2.3598,5.5692,3.1464,1.707,4.028,2.276,299.434592,43.632622
955,6065,1.03,,1.29507,1594.34,0.8535,2.0143,1.138,0.535,1.263,0.714,297.045421,46.328701
956,,,,,6600,,,,,,,272.664612,-24.857738
957,,,,,6260,,,,,,,268.76474,-29.51692
958,,,,,7010,,,,,,,268.112,-29.384562
959,6820,1.75,,5.97737,426,1.8336,4.3274,2.4449,4.304,10.158,5.739,297.453731,41.010991
960,5520,1.13,,1.06957,900,0.7757,1.8305,1.0342,0.862,2.034,1.149,291.22518,44.927383
961,7650,1.74,,9.35494,415,2.2939,5.4137,3.0586,5.528,13.045,7.37,286.971199,46.868362
962,5471,0.88,0.59841,0.59841,339,0.5802,1.3692,0.7736,1.711,4.039,2.282,291.148088,40.669407
963,5545,0.86,,0.63081,800,0.5957,1.4058,0.7942,0.745,1.757,0.993,294.865505,46.285854
964,6080,1.2,,1.77531,780,0.9993,2.3584,1.3324,1.281,3.024,1.708,284.433492,49.305161
965,5830,0.96,,0.96054,946.59,0.7351,1.7347,0.9801,0.777,1.833,1.035,293.281566,45.309677
966,27730,0.203,22.90868,22.90868,1180,3.5897,8.4718,4.7863,3.042,7.179,4.056,296.356105,41.092755
967,6474,1.26,,2.5161,1072.12,1.1897,2.8076,1.5862,1.11,2.619,1.48,282.37753,44.694592
968,6182,1.52,3.01301,3.01301,462,1.3019,3.0724,1.7358,2.818,6.65,3.757,297.333057,41.891117
969,5165,0.907,,0.52819,264.69,0.5451,1.2864,0.7268,2.059,4.86,2.746,165.167404,64.96402
970,3550,0.291,,0.01213,3.93,0.0826,0.195,0.1102,21.003,49.567,28.004,77.91909,-45.018414
971,5627,1.065,,1.0259,173,0.7596,1.7928,1.0129,4.391,10.363,5.855,285.679394,50.241299
972,5825,1.49,,2.30597,297,1.1389,2.6878,1.5185,3.835,9.05,5.113,291.385979,41.990273
973,6453,1.51,,3.56695,925,1.4165,3.3429,1.8886,1.531,3.614,2.042,286.685523,47.098221
974,5491,0.88,,0.63514,1009,0.5977,1.4106,0.797,0.592,1.398,0.79,286.273871,48.618706
975,6144,1.57,,3.16884,425,1.3351,3.1508,1.7801,3.141,7.414,4.189,293.079495,43.073715
976,6109,1.17,,1.72008,873,0.9836,2.3214,1.3115,1.127,2.659,1.502,292.020456,44.876217
977,4972,3.39,,6.33608,1080,1.8879,4.4554,2.5172,1.748,4.125,2.331,297.359299,49.79755
978,5782,1.06,,1.13298,515,0.7983,1.884,1.0644,1.55,3.658,2.067,286.286014,43.320461
979,5328,0.74,,0.39812,496,0.4732,1.1168,0.631,0.954,2.252,1.272,295.754127,42.537476
980,4587,0.7,,0.19571,365,0.3318,0.783,0.4424,0.909,2.145,1.212,295.906552,45.80912
981,5066,0.78,,0.36153,299,0.451,1.0643,0.6013,1.508,3.559,2.011,296.547525,44.941933
982,4027,0.57,,0.07709,281,0.2082,0.4914,0.2776,0.741,1.749,0.988,282.85993,42.665764
983,5667,1.56,,2.26443,657,1.1286,2.6635,1.5048,1.718,4.054,2.29,283.255489,48.355228
984,5253,0.82,,0.46191,610,0.5097,1.203,0.6796,0.836,1.972,1.114,289.192636,44.149326
985,5416,0.88,,0.60114,860,0.5815,1.3723,0.7753,0.676,1.596,0.902,297.401546,46.824001
986,5556,0.91,,0.71192,420,0.6328,1.4934,0.8438,1.507,3.556,2.009,289.29627,46.457954
987,4954,0.76,,0.31387,433,0.4202,0.9916,0.5602,0.97,2.29,1.294,290.248072,44.435242
988,5388,0.84,,0.53649,672,0.5493,1.2965,0.7325,0.817,1.929,1.09,285.122033,44.110603
989,6769,1.81,,6.20515,932,1.8683,4.4091,2.491,2.005,4.731,2.673,292.75733,43.42691
990,5821,1,,1.03583,1239,0.7633,1.8014,1.0178,0.616,1.454,0.821,294.613645,45.984623
991,5473,0.87,,0.61268,554,0.5871,1.3855,0.7827,1.06,2.501,1.413,283.469362,40.132607
992,5518,0.88,,0.64772,894,0.6036,1.4245,0.8048,0.675,1.593,0.9,283.596696,45.407879
993,4433,0.67,,0.1564,198,0.2966,0.7,0.3955,1.498,3.535,1.997,283.717526,47.204449
994,4909,0.76,0.2799,0.2799,110,0.3968,0.9364,0.5291,3.607,8.513,4.81,281.482749,47.208031
995,5227,0.8,,0.43101,446,0.4924,1.162,0.6565,1.104,2.605,1.472,292.672551,46.377422
996,5431,0.86,,0.58051,837,0.5714,1.3486,0.7619,0.683,1.611,0.91,295.204905,42.559681
997,4445,0.68,,0.16286,455,0.3027,0.7143,0.4036,0.665,1.57,0.887,289.352005,46.973728
998,5494,0.89,,0.65108,686,0.6052,1.4282,0.8069,0.882,2.082,1.176,289.029742,49.769707
999,5143,0.78,,0.38402,1017,0.4648,1.0969,0.6197,0.457,1.079,0.609,291.950991,38.251698
1000,6089,1.13,,1.58357,716,0.9438,2.2274,1.2584,1.318,3.111,1.758,284.510201,43.961666
1001,4948,0.75,,0.30419,389,0.4136,0.9762,0.5515,1.063,2.51,1.418,283.605263,39.99798
1002,5436,0.82,,0.52971,291,0.5459,1.2882,0.7278,1.876,4.427,2.501,287.571185,42.813923
1003,5522,0.87,,0.63492,633,0.5976,1.4104,0.7968,0.944,2.228,1.259,289.593097,49.781158
1004,5030,0.77,,0.34241,422,0.4389,1.0357,0.5852,1.04,2.454,1.387,292.132976,41.54754
1005,5845,1.44,,2.18353,485,1.1083,2.6155,1.4777,2.285,5.393,3.047,288.984555,40.064521
1006,4983,0.76,,0.32128,795,0.4251,1.0033,0.5668,0.535,1.262,0.713,293.681915,45.817559
1007,6011,1.12,,1.47747,741,0.9116,2.1515,1.2155,1.23,2.903,1.64,296.089747,48.955376
1008,4647,0.71,,0.21208,607,0.3454,0.8151,0.4605,0.569,1.343,0.759,289.930872,40.097751
1009,5547,0.92,,0.72294,1425,0.6377,1.505,0.8503,0.448,1.056,0.597,283.845142,44.609093
1010,5198,0.8,,0.42152,706,0.4869,1.1492,0.6492,0.69,1.628,0.92,286.115368,37.966997
1011,5763,0.97,,0.93634,408,0.7257,1.7127,0.9676,1.779,4.198,2.372,289.042225,42.882488
1012,5533,0.89,,0.66976,507,0.6138,1.4485,0.8184,1.211,2.857,1.614,295.181638,49.945786
1013,5105,0.78,,0.37279,451,0.4579,1.0807,0.6106,1.015,2.396,1.354,296.341029,47.170856
1014,5335,0.83,,0.50349,622,0.5322,1.2559,0.7096,0.856,2.019,1.141,298.972184,44.132378
1015,4870,0.74,,0.27789,324,0.3954,0.9331,0.5272,1.22,2.88,1.627,298.326591,45.315514
1016,5711,1.349,,1.7465,403,0.9912,2.3391,1.3216,2.459,5.804,3.279,287.604612,42.166779
1017,5694,0.96,,0.874,473,0.7012,1.6547,0.9349,1.482,3.498,1.976,283.113784,48.131393
1018,5957,1.08,,1.32512,979,0.8634,2.0375,1.1511,0.882,2.081,1.176,293.881768,49.683155
1019,4815,0.72,,0.25139,659,0.376,0.8875,0.5014,0.571,1.347,0.761,288.668933,39.824006
1020,5629,0.9,,0.73368,838,0.6424,1.5161,0.8566,0.767,1.809,1.022,281.662983,47.568584
1021,5985,1.11,,1.42626,1507,0.8957,2.1138,1.1943,0.594,1.403,0.792,293.144456,46.666237
1022,5301,0.82,,0.47902,971,0.5191,1.225,0.6921,0.535,1.262,0.713,284.183296,45.074104
