loc_rowid,st_teff,st_rad,st_lum,st_lum_utl,st_dist,hz_inner_au,hz_outer_au,hz_center_au,hz_inner_mas,hz_outer_mas,hz_center_mas,RA,Dec
95,3370,0.38,0.016,0.016,12.36,0.0949,0.2239,0.1265,7.674,18.111,10.232,73.023865,6.476539
96,3382,0.293,0.0088,0.0088,3.8,0.0704,0.166,0.0938,18.502,43.665,24.67,111.852081,5.225785
97,5540,0.9,0.66069,0.66069,17.56,0.6096,1.4387,0.8128,34.707,81.908,46.276,4.052823,-79.851181
98,3717,0.5,0.045,0.045,,0.1591,0.3755,0.2121,,,,32.295425,-16.339592
99,3510,,,,15.1,,,,,,,130.24673,-23.456289
100,3900,,,,20.54,,,,,,,133.781754,1.546508
101,3466,0.404,0.022,0.022,20.2,0.1112,0.2625,0.1483,5.507,12.995,7.342,67.14882,-25.169301
102,3159,0.119,0.0027,0.0027,5.32,0.039,0.092,0.052,7.323,17.283,9.765,75.48928,-6.946263
103,3526,0.439,0.02897,0.02897,23.16,0.1277,0.3013,0.1702,5.512,13.009,7.35,78.944663,-31.295951
104,3600,0.547,,0.04534,25.2,0.1597,0.3769,0.2129,6.337,14.956,8.45,119.774349,15.391492
105,,0.43,0.02,0.02,19.8,0.1061,0.2503,0.1414,5.357,12.642,7.142,164.646242,-31.143989
106,3324,0.281,0.00867,0.00867,13.75,0.0698,0.1648,0.0931,5.079,11.987,6.773,200.736403,24.467626
107,3867,0.61,0.07586,0.07586,16.94,0.2066,0.4875,0.2754,12.196,28.783,16.262,242.263092,52.943874
108,3722,0.49,0.041,0.041,17.79,0.1519,0.3584,0.2025,8.535,20.142,11.38,259.002655,11.057666
109,3387,0.407,0.0197,0.0197,21.35,0.1053,0.2484,0.1404,4.931,11.636,6.574,336.321023,59.413835
110,3461,0.5,,0.03236,9.07,0.1349,0.3184,0.1799,14.881,35.118,19.841,173.862289,-32.53997
111,,0.455,,,9.76,,,,,,,175.546219,26.70657
112,6234,,2.14783,2.14783,17.54,1.0992,2.594,1.4655,62.673,147.907,83.564,199.193817,9.424156
113,3685,0.5,0.04198,0.04198,10.03,0.1537,0.3626,0.2049,15.32,36.155,20.427,210.26329,-2.654864
114,,0.29,0.013,0.013,6.3,0.0855,0.2018,0.114,13.576,32.039,18.101,229.861771,-7.72228
115,3499,0.31,0.01276,0.01276,6.49,0.0847,0.2,0.113,13.056,30.813,17.408,246.3526,54.304104
116,3700,,,,10.38,,,,,,,254.53688,25.74416
117,3350,,0.01371,0.01371,6.8,0.0878,0.2072,0.1171,12.914,30.476,17.218,259.745085,-34.996827
118,3600,,0.016,0.016,4.55,0.0949,0.2239,0.1265,20.849,49.204,27.799,262.166443,-46.895191
119,3734,0.69,,0.0835,16.9,0.2167,0.5115,0.289,12.824,30.264,17.099,262.546692,-51.636978
120,3340,0.43,,0.02076,4.55,0.1081,0.255,0.1441,23.75,56.05,31.666,264.10791,68.339142
121,3472,,0.026,0.026,4.97,0.1209,0.2854,0.1613,24.358,57.484,32.477,323.391571,-49.009006
122,3241,0.53,,0.02796,8.8,0.1254,0.296,0.1672,14.247,33.623,18.996,332.418121,-4.640729
123,5182,0.77,,0.38572,10.79,0.4658,1.0993,0.6211,43.181,101.908,57.575,32.608059,-50.823723
124,,0.3,0.0124,0.0124,4.68,0.0835,0.1971,0.1114,17.861,42.153,23.815,343.319733,-14.2637
125,3785,,0.0888,0.0888,11.94,0.2235,0.5274,0.298,18.725,44.191,24.967,35.561016,47.880028
126,4269,0.613,,0.1126,30.32,0.2517,0.5939,0.3356,8.3,19.589,11.067,351.770142,-1.286273
127,,,,,139,,,,,,,237.300427,-35.651421
128,4200,,0.38019,0.38019,145,0.4624,1.0914,0.6166,3.189,7.527,4.252,245.47778,-20.719202
129,,,,,48,,,,,,,18.146006,17.065475
130,5980,1.174,,1.59015,139,0.9458,2.232,1.261,6.804,16.057,9.072,344.445104,38.674953
131,4780,0.683,,0.21971,37.81,0.3515,0.8297,0.4687,9.299,21.945,12.398,297.709351,48.080856
132,4650,0.701,0.20989,0.20989,142.5,0.3436,0.8109,0.4581,2.411,5.691,3.215,209.389489,43.493534
133,5653,1.56,2.2182,2.2182,214,1.117,2.6362,1.4894,5.22,12.319,6.96,129.882536,47.352051
134,6600,1.82,,5.67042,205,1.7859,4.2148,2.3813,8.712,20.56,11.616,260.116169,38.242165
135,5568,1.07,,0.9928,190,0.7473,1.7636,0.9964,3.933,9.282,5.244,66.248026,39.460636
136,6158,1.237,1.97,1.97,235,1.0527,2.4843,1.4036,4.479,10.572,5.973,9.573181,42.463078
137,5246,0.87,,0.51719,90,0.5394,1.2729,0.7192,5.993,14.143,7.991,324.536396,30.488716
138,4803,0.749,0.26977,0.26977,166,0.3895,0.9193,0.5194,2.347,5.538,3.129,256.346473,33.012512
139,4990,0.82,0.36983,0.36983,215,0.4561,1.0764,0.6081,2.121,5.007,2.829,9.516742,34.711575
140,6380,1.39,3.38844,3.38844,128.25,1.3806,3.2582,1.8408,10.765,25.406,14.353,245.151489,41.048084
141,4595,0.694,0.19011,0.19011,70,0.327,0.7717,0.436,4.672,11.025,6.229,111.916469,24.33663
142,5588,1.21,,1.28793,254,0.8512,2.0087,1.1349,3.351,7.908,4.468,171.274955,41.027954
143,5302,1.11,,0.87842,82,0.7029,1.6589,0.9372,8.572,20.231,11.43,155.681719,50.128345
144,5905,0.96,,1.01092,393,0.7541,1.7796,1.0054,1.919,4.528,2.558,306.123854,16.762152
145,6373,1.38,,2.8342,396,1.2626,2.9798,1.6835,3.188,7.525,4.251,108.825058,14.262599
146,5519,0.919,0.705,0.705,297,0.6297,1.4862,0.8396,2.12,5.004,2.827,48.435419,25.197405
147,5079,0.87,,0.45441,134,0.5056,1.1932,0.6741,3.773,8.904,5.031,213.156383,4.059997
