loc_rowid,kepid,kepler_name,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
4016,10329196,Kepler-1605 b,CANDIDATE,0.895,0,0,0,0,85.7567919,5.97E-04,-5.97E-04,162.71914,6.17E-03,-6.17E-03,0.713,0.003,-0.538,5.695,0.195,-0.195,1.59E+02,1.09E+01,-1.09E+01,2.99,8.30E-01,-4.50E-01,89.51,,,528,,,18.44,13.35,-5.93,16.9,16,5037,70,-81,2.213,0.614,-0.33,287.13489,47.488621,12.429
4017,10604592,,CANDIDATE,1,0,0,0,0,2.18660188,1.06E-05,-1.06E-05,131.94832,3.63E-03,-3.63E-03,0.828,0.02,-0.577,1.585,0.123,-0.123,1.22E+02,1.03E+01,-1.03E+01,0.98,8.00E-02,-1.00E-01,82.31,,,1099,,,345.07,106.33,-99.8,14.2,611,4904,148,-148,0.772,0.06,-0.08,293.71136,47.887539,14.793
4018,9834731,,CANDIDATE,,0,0,0,0,7.2929891,1.74E-04,-1.74E-04,135.6364,2.06E-02,-2.06E-02,0.022,0.4125,-0.0217,4.053,0.946,-0.946,7.25E+01,1.39E+01,-1.39E+01,0.73,2.50E-01,-6.00E-02,89.95,,,904,,,158.19,155.12,-39.48,7.1,,5959,148,-171,0.856,0.291,-0.07,293.43079,46.692089,14.829
4020,9285568,Kepler-1575 b,CANDIDATE,0.992,0,0,0,0,2.55315031,1.24E-05,-1.24E-05,132.44849,4.65E-03,-4.65E-03,0.32,0.138,-0.32,1.849,0.104,-0.104,1.85E+02,1.42E+01,-1.42E+01,1.25,3.40E-01,-1.20E-01,88.19,,,1312,,,699.7,584.17,-204.86,15.4,448,5970,188,-209,0.908,0.248,-0.088,293.74326,45.761589,15.424
4021,7604328,Kepler-1245 c,CANDIDATE,1,0,0,0,0,2.936587946,9.20E-06,-9.20E-06,133.03618,2.62E-03,-2.62E-03,0.863,0.006,-0.6,1.8952,0.0773,-0.0773,2.80E+02,1.56E+01,-1.56E+01,1.77,4.10E-01,-2.80E-01,82.32,,,1190,,,473.18,337.27,-174.56,20.1,455,5455,162,-162,0.909,0.213,-0.142,290.74432,43.26078,15.404
4022,9514372,,CANDIDATE,0.996,0,0,0,0,145.786556,2.42E-03,-2.42E-03,215.0441,1.35E-02,-1.35E-02,0.133,0.333,-0.133,4.891,0.391,-0.391,3.78E+02,3.26E+01,-3.26E+01,1.82,2.40E-01,-1.50E-01,89.97,,,331,,,2.84,1.05,-0.65,13.9,10,5578,100,-111,0.95,0.123,-0.082,285.66006,46.143471,14.41
4024,7103919,,CANDIDATE,0.986,0,0,0,0,10.7769944,1.21E-04,-1.21E-04,140.2902,9.79E-03,-9.79E-03,0.069,0.381,-0.069,2.616,0.235,-0.235,1.86E+02,1.95E+01,-1.95E+01,1.15,2.50E-01,-1.70E-01,89.87,,,752,,,75.83,51.67,-27.16,11.3,122,5455,162,-162,0.852,0.19,-0.127,287.08749,42.668671,14.587
4025,3762750,,CANDIDATE,0.77,0,0,0,0,2.5093344,4.15E-05,-4.15E-05,133.1123,1.30E-02,-1.30E-02,0.019,0.515,-0.019,1.833,0.64,-0.64,1.84E+02,5.29E+01,-5.29E+01,1.47,4.50E-01,-1.90E-01,89.9,,,1483,,,1143.04,1026.37,-413.75,8.4,409,6278,174,-261,1.081,0.329,-0.141,295.37204,38.897739,15.588
4027,10722485,Kepler-1588 b,CANDIDATE,0.99,0,0,0,0,7.84931877,7.56E-05,-7.56E-05,134.8747,8.46E-03,-8.46E-03,0.107,0.352,-0.107,3.747,0.31,-0.31,6.82E+01,6.60E+00,-6.60E+00,0.81,1.20E-01,-1.10E-01,89.62,,,925,,,172.98,70,-52.88,12.6,174,5678,113,-91,0.99,0.138,-0.138,288.2327,48.002178,13.858
4033,9886361,,CANDIDATE,0.848,0,0,0,0,24.5607107,3.75E-04,-3.75E-04,146.7938,1.61E-02,-1.61E-02,0.374,0.096,-0.374,8.679,0.35,-0.35,5.52E+01,3.90E+00,-3.90E+00,1.13,2.00E-01,-1.90E-01,88.94,,,787,,,90.55,45.11,-32.54,14.9,26,6170,110,-135,1.499,0.272,-0.245,289.92145,46.74456,12.805
4034,6937529,Kepler-1597 b,CANDIDATE,1,0,0,0,0,2.94648935,2.51E-05,-2.51E-05,132.42208,6.79E-03,-6.79E-03,0.01,0.444,-0.009,3.155,0.238,-0.238,5.70E+01,5.10E+00,-5.10E+00,0.89,2.50E-01,-1.00E-01,89.92,,,1497,,,1187.5,921.5,-368.65,12.7,455,6481,145,-193,1.171,0.322,-0.138,288.16397,42.481079,14.144
4042,12737015,,CANDIDATE,0.965,0,0,0,0,24.6683831,3.51E-04,-3.51E-04,136.633,1.24E-02,-1.24E-02,0.751,0.213,-0.529,8.556,0.353,-0.353,1.09E+02,8.10E+00,-8.10E+00,1.76,3.00E-01,-3.70E-01,87.12,,,788,,,91.32,43.64,-39.77,15.3,53,6059,109,-146,1.554,0.269,-0.328,290.48007,51.965012,13.572
4044,5177859,Kepler-1576 b,CANDIDATE,0.364,0,0,0,0,6.98472143,6.16E-05,-6.16E-05,135.99731,7.08E-03,-7.08E-03,0.451,0.055,-0.407,2.724,0.202,-0.202,9.07E+01,8.70E+00,-8.70E+00,1.19,3.40E-01,-2.60E-01,88.54,,,1059,,,297.15,255.24,-136.99,11.7,196,5839,156,-174,1.227,0.36,-0.27,289.07397,40.366009,13.382
4045,8482059,,CANDIDATE,,0,0,0,0,349.41047,2.59E-02,-2.59E-02,241.4685,4.74E-02,-4.74E-02,0.2791,0.206,-0.2786,15.02,1.8,-1.8,6.53E+02,8.34E+01,-8.34E+01,2.41,7.50E-01,-1.90E-01,89.95,,,253,,,0.97,0.88,-0.25,17.7,,5878,150,-191,0.945,0.294,-0.077,285.85315,44.57222,15.346
4050,9286088,,CANDIDATE,0.938,0,0,0,0,14.8162925,2.63E-04,-2.63E-04,138.3761,1.27E-02,-1.27E-02,0.857,0.099,-0.608,4.973,0.362,-0.362,1.08E+02,1.00E+01,-1.00E+01,1.57,2.50E-01,-2.10E-01,85.99,,,912,,,163.33,73.41,-49.91,12.5,89,6356,115,-128,1.325,0.214,-0.175,293.93832,45.719021,12.583
4052,6937529,,CANDIDATE,,0,0,0,0,3.98167088,5.26E-05,-5.26E-05,134.9767,1.08E-02,-1.08E-02,0.2076,0.2343,-0.2076,3.609,0.283,-0.283,4.47E+01,5.40E+00,-5.40E+00,0.79,3.80E-01,-9.00E-02,88.81,,,1356,,,798.79,1117.56,-264.03,10.3,,6484,155,-225,1.173,0.56,-0.143,288.16397,42.481079,14.144
4053,9883606,Kepler-1598 b,CANDIDATE,0.999,0,0,0,0,4.34195312,3.55E-05,-3.55E-05,134.18767,6.66E-03,-6.66E-03,0.118,0.334,-0.118,2.598,0.207,-0.207,7.33E+01,7.70E+00,-7.70E+00,0.94,3.00E-01,-1.30E-01,89.47,,,1236,,,552.7,519.44,-197.27,10.6,304,6164,165,-220,1.09,0.35,-0.15,288.46909,46.78368,13.874
4054,5860968,Kepler-1599 b,CANDIDATE,0.997,0,0,0,0,122.358116,4.20E-03,-4.20E-03,134.3477,1.90E-02,-1.90E-02,0.255,0.198,-0.255,10.768,0.69,-0.69,3.53E+02,3.49E+01,-3.49E+01,2.15,6.10E-01,-4.10E-01,89.83,,,407,,,6.46,5.54,-2.7,12.2,8,5998,180,-180,1.139,0.324,-0.216,286.22089,41.151249,14.945
4055,3645438,,CANDIDATE,1,0,0,0,0,7.298142,5.42E-05,-5.42E-05,137.85674,6.29E-03,-6.29E-03,0.411,0.059,-0.411,3.024,0.146,-0.146,3.71E+02,2.94E+01,-2.94E+01,1.6,9.00E-02,-1.00E-01,88.63,,,786,,,90.04,17.03,-15.83,13.6,155,5119,82,-82,0.834,0.047,-0.052,291.39938,38.78775,15.825
4056,8480582,,CANDIDATE,0.967,0,0,0,0,18.5010898,1.56E-04,-1.56E-04,149.17569,6.01E-03,-6.01E-03,0.719,0.046,-0.512,3.179,0.17,-0.17,4.21E+02,3.38E+01,-3.38E+01,1.62,2.40E-01,-1.40E-01,88.72,,,555,,,22.4,11.1,-5.48,14.7,74,5242,158,-142,0.734,0.112,-0.06,284.9725,44.567551,15.789
4057,5197233,,CANDIDATE,1,0,0,0,0,7.016016,6.30E-03,-6.30E-03,133.9561,8.73E-02,-8.73E-02,0.89,0.105,-0.641,3.8,13.2,-13.2,1.69E+02,1.54E+02,-1.54E+02,1.72,5.00E-01,-2.20E-01,82.64,,,1138,,,396.43,340.45,-131.37,6.3,153,6642,178,-218,1.136,0.333,-0.143,294.63516,40.322128,14.404
4059,7119481,,CANDIDATE,0.964,0,0,0,0,42.068554,1.06E-03,-1.06E-03,165.0211,2.60E-02,-2.60E-02,0.022,0.441,-0.022,5.723,0.496,-0.496,1.86E+02,1.89E+01,-1.89E+01,1.32,4.10E-01,-1.40E-01,89.98,,,541,,,20.28,19.05,-6.05,9.8,23,6122,182,-200,0.964,0.302,-0.101,292.31601,42.626251,14.718
4065,8741470,,CANDIDATE,1,0,0,0,0,6.23968392,2.44E-05,-2.44E-05,133.72124,3.07E-03,-3.07E-03,0.679,0.049,-0.537,0.668,0.18,-0.18,1.56E+02,2.28E+01,-2.28E+01,1.55,4.10E-01,-3.00E-01,89.27,,,1060,,,299.03,235.11,-125.1,9,215,5751,156,-156,1.143,0.305,-0.222,286.35339,44.961182,13.795
4066,11125613,Kepler-1254 c,CANDIDATE,0.998,0,0,0,0,3.60082855,1.73E-05,-1.73E-05,134.037,3.55E-03,-3.55E-03,0.395,0.064,-0.395,1.938,0.123,-0.123,2.96E+02,1.95E+01,-1.95E+01,1.36,4.00E-02,-9.00E-02,88.3,,,927,,,174.45,24.19,-32.29,17.9,296,4838,77,-77,0.796,0.027,-0.054,285.17334,48.770039,15.311
4067,10525049,,CANDIDATE,0.999,0,0,0,0,15.5714121,1.08E-04,-1.08E-04,136.58529,5.67E-03,-5.67E-03,0.312,0.139,-0.312,2.294,0.222,-0.222,1.74E+02,1.72E+01,-1.72E+01,0.72,5.00E-02,-4.00E-02,89.64,,,399,,,5.98,1.27,-1.14,13,82,3872,77,-84,0.557,0.033,-0.033,287.36404,47.78521,13.977
