loc_rowid,kepid,kepler_name,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1,10797460,Kepler-227 b,CANDIDATE,1,0,0,0,0,9.48803557,2.78E-05,-2.78E-05,170.53875,2.16E-03,-2.16E-03,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,6.16E+02,1.95E+01,-1.95E+01,2.26,2.60E-01,-1.50E-01,89.66,,,793,,,93.59,29.45,-16.65,35.8,142,5455,81,-81,0.927,0.105,-0.061,291.93423,48.141651,15.347
2,10797460,Kepler-227 c,CANDIDATE,0.969,0,0,0,0,54.4183827,2.48E-04,-2.48E-04,162.51384,3.52E-03,-3.52E-03,0.586,0.059,-0.443,4.507,0.116,-0.116,8.75E+02,3.55E+01,-3.55E+01,2.83,3.20E-01,-1.90E-01,89.57,,,443,,,9.11,2.87,-1.62,25.8,25,5455,81,-81,0.927,0.105,-0.061,291.93423,48.141651,15.347
3,10811496,,CANDIDATE,0,0,0,0,0,19.89913995,1.49E-05,-1.49E-05,175.850252,5.81E-04,-5.81E-04,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,1.08E+04,1.71E+02,-1.71E+02,14.6,3.92E+00,-1.31E+00,88.96,,,638,,,39.3,31.04,-10.49,76.3,56,5853,158,-176,0.868,0.233,-0.078,297.00482,48.134129,15.436
5,10854555,Kepler-664 b,CANDIDATE,1,0,0,0,0,2.525591777,3.76E-06,-3.76E-06,171.59555,1.13E-03,-1.13E-03,0.701,0.235,-0.478,1.6545,0.042,-0.042,6.03E+02,1.69E+01,-1.69E+01,2.75,8.80E-01,-3.50E-01,85.41,,,1406,,,926.16,874.33,-314.24,40.9,515,6031,169,-211,1.046,0.334,-0.133,288.75488,48.2262,15.509
6,10872983,Kepler-228 d,CANDIDATE,1,0,0,0,0,11.09432054,2.04E-05,-2.04E-05,171.20116,1.41E-03,-1.41E-03,0.538,0.03,-0.428,4.5945,0.061,-0.061,1.52E+03,2.42E+01,-2.42E+01,3.9,1.27E+00,-4.20E-01,88.11,,,835,,,114.81,112.85,-36.7,66.5,95,6046,189,-232,0.972,0.315,-0.105,296.28613,48.22467,15.714
7,10872983,Kepler-228 c,CANDIDATE,1,0,0,0,0,4.13443512,1.05E-05,-1.05E-05,172.97937,1.90E-03,-1.90E-03,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,6.86E+02,1.87E+01,-1.87E+01,2.77,9.00E-01,-3.00E-01,83.72,,,1160,,,427.65,420.33,-136.7,40.2,240,6046,189,-232,0.972,0.315,-0.105,296.28613,48.22467,15.714
8,10872983,Kepler-228 b,CANDIDATE,0.992,0,0,0,0,2.56658897,1.78E-05,-1.78E-05,179.55437,4.61E-03,-4.61E-03,0.755,0.212,-0.523,2.429,0.165,-0.165,2.27E+02,1.68E+01,-1.68E+01,1.59,5.20E-01,-1.70E-01,82.17,,,1360,,,807.74,793.91,-258.2,15,355,6046,189,-232,0.972,0.315,-0.105,296.28613,48.22467,15.714
10,10910878,Kepler-229 c,CANDIDATE,1,0,0,0,0,16.06864674,1.09E-05,-1.09E-05,173.621937,5.17E-04,-5.17E-04,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4.91E+03,3.33E+01,-3.33E+01,5.76,2.20E-01,-4.90E-01,89.92,,,600,,,30.75,4.46,-6.66,161.9,69,5031,75,-83,0.848,0.033,-0.072,286.99948,48.37579,15.841
11,11446443,Kepler-1 b,CANDIDATE,0.811,0,0,0,0,2.470613377,2.70E-08,-2.70E-08,122.763305,8.70E-06,-8.70E-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,1.42E+04,4.20E+00,-4.20E+00,13.04,5.10E-01,-5.10E-01,84.41,,,1339,,,761.46,106.21,-95.76,4304.3,432,5820,78,-78,0.964,0.038,-0.038,286.80847,49.316399,11.338
12,10666592,Kepler-2 b,CANDIDATE,1,0,1,0,0,2.204735417,4.30E-08,-4.30E-08,121.3585417,1.60E-05,-1.60E-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6.67E+03,1.70E+00,-1.70E+00,16.1,8.10E-01,-9.10E-01,87.21,,,2048,,,4148.92,651.59,-654.46,5945.9,611,6440,76,-89,1.952,0.099,-0.11,292.24728,47.969521,10.463
13,6922244,Kepler-8 b,CANDIDATE,0.998,0,0,0,0,3.522498429,1.98E-07,-1.98E-07,121.1194228,4.71E-05,-4.71E-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9.15E+03,6.60E+00,-6.60E+00,14.59,1.11E+00,-1.11E+00,85.2,,,1521,,,1264.67,307.23,-276.48,1741.5,384,6225,112,-137,1.451,0.11,-0.11,281.28812,42.45108,13.563
14,10984090,Kepler-466 c,CANDIDATE,1,0,0,0,0,3.709214104,6.54E-06,-6.54E-06,133.98318,1.43E-03,-1.43E-03,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,1.31E+02,3.00E+00,-3.00E+00,1.16,1.70E-01,-1.20E-01,89.73,,,1206,,,500.46,197.96,-130.54,50.6,352,5833,105,-117,1.022,0.143,-0.107,295.64871,48.49556,12.772
19,10526549,Kepler-660 b,CANDIDATE,1,0,0,0,0,9.27358173,1.04E-05,-1.04E-05,173.258155,8.77E-04,-8.77E-04,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1.29E+03,1.68E+01,-1.68E+01,2.47,2.00E-01,-2.40E-01,88.93,,,649,,,41.85,12.49,-11.7,87.2,144,4856,131,-146,0.696,0.056,-0.068,288.13824,47.724449,15.302
20,10583066,Kepler-661 b,CANDIDATE,1,0,0,0,0,6.02930329,5.51E-06,-5.51E-06,171.602959,7.13E-04,-7.13E-04,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1.91E+03,3.44E+01,-3.44E+01,2.85,2.60E-01,-1.50E-01,89.5,,,678,,,50.04,16.4,-9.88,65.4,215,4537,123,-123,0.672,0.062,-0.036,283.71088,47.86327,15.784
22,10601284,Kepler-226 c,CANDIDATE,1,0,0,0,0,5.349553819,8.83E-06,-8.83E-06,171.80694,1.27E-03,-1.27E-03,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,8.31E+02,1.48E+01,-1.48E+01,2.55,1.60E-01,-2.40E-01,89.62,,,919,,,168.99,34.66,-38.48,60.6,247,5185,85,-77,0.91,0.057,-0.086,292.37613,47.880989,15.416
23,10601284,Kepler-226 b,CANDIDATE,0.98,0,0,0,0,3.94105221,1.09E-05,-1.09E-05,136.08662,2.33E-03,-2.33E-03,0.226,0.243,-0.226,2.5984,0.0737,-0.0737,3.63E+02,1.39E+01,-1.39E+01,1.7,1.10E-01,-1.60E-01,88.88,,,1018,,,253.15,51.91,-57.65,28.9,322,5185,85,-77,0.91,0.057,-0.086,292.37613,47.880989,15.416
24,10601284,Kepler-226 d,CANDIDATE,0.971,0,0,0,0,8.10904807,6.79E-05,-6.79E-05,132.8031,7.16E-03,-7.16E-03,0.025,0.425,-0.025,3.596,0.198,-0.198,2.17E+02,1.68E+01,-1.68E+01,1.3,9.00E-02,-1.20E-01,89.92,,,800,,,97.03,19.9,-22.09,14.1,141,5185,85,-77,0.91,0.057,-0.086,292.37613,47.880989,15.416
26,10662202,Kepler-662 b,CANDIDATE,1,0,0,0,0,21.67699193,7.01E-05,-7.01E-05,171.53594,2.58E-03,-2.58E-03,0.896,0.01,-0.663,3.4555,0.0656,-0.0656,8.57E+02,2.71E+01,-2.71E+01,2.95,1.20E-01,-2.30E-01,87.91,,,530,,,18.64,2.78,-3.8,34.3,62,4954,79,-79,0.828,0.032,-0.065,290.46512,47.92918,15.377
27,10682541,Kepler-663 b,CANDIDATE,1,0,0,0,0,4.99677968,1.39E-05,-1.39E-05,171.74208,2.19E-03,-2.19E-03,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,9.35E+02,3.97E+01,-3.97E+01,2.78,5.20E-01,-2.30E-01,86.9,,,917,,,166.95,102.06,-42.14,28.2,208,5339,175,-159,0.847,0.161,-0.069,297.80826,47.946671,15.861
28,11460018,Kepler-671 b,CANDIDATE,1,0,0,0,0,4.280963604,6.14E-06,-6.14E-06,171.89659,1.15E-03,-1.15E-03,0.424,0.112,-0.356,2.875,0.042,-0.042,7.51E+02,1.41E+01,-1.41E+01,2.3,5.80E-01,-1.90E-01,87.72,,,1012,,,247.87,182.24,-63.32,61.8,311,5644,152,-169,0.831,0.207,-0.069,294.26581,49.314091,15.356
32,11507101,Kepler-672 b,CANDIDATE,1,0,0,0,0,38.3775486,1.60E-04,-1.60E-04,172.82048,3.38E-03,-3.38E-03,0.468,0.461,-0.267,5.588,0.113,-0.113,7.24E+02,2.34E+01,-2.34E+01,2.82,3.70E-01,-3.40E-01,89.44,,,529,,,18.53,6.72,-4.93,34.7,37,5481,82,-74,1.036,0.138,-0.124,291.72202,49.480869,15.172
33,10910878,Kepler-229 d,CANDIDATE,0.992,0,0,0,0,41.19725502,9.35E-05,-9.35E-05,165.00404,1.71E-03,-1.71E-03,0.045,0.337,-0.045,4.6297,0.0633,-0.0633,2.21E+03,4.55E+01,-4.55E+01,3.86,1.50E-01,-3.30E-01,89.96,,,439,,,8.76,1.27,-1.9,51.2,26,5031,75,-83,0.848,0.033,-0.072,286.99948,48.37579,15.841
34,10910878,Kepler-229 b,CANDIDATE,1,0,0,0,0,6.252962249,9.58E-06,-9.58E-06,171.30126,1.17E-03,-1.17E-03,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,1.04E+03,2.45E+01,-2.45E+01,2.65,1.00E-01,-2.30E-01,89.68,,,823,,,108.3,15.73,-23.44,47.1,167,5031,75,-83,0.848,0.033,-0.072,286.99948,48.37579,15.841
35,10987985,Kepler-665 b,CANDIDATE,1,0,0,0,0,16.01308419,4.85E-05,-4.85E-05,176.3608,2.43E-03,-2.43E-03,0.799,0.097,-0.551,3.2554,0.0791,-0.0791,1.12E+03,3.94E+01,-3.94E+01,3.1,3.40E-01,-3.10E-01,88.14,,,593,,,29.31,11.77,-8.24,33.2,65,5015,164,-149,0.826,0.091,-0.082,297.02563,48.478588,15.39
36,11018648,Kepler-230 b,CANDIDATE,1,0,0,0,0,32.62876672,5.80E-05,-5.80E-05,194.1019,1.38E-03,-1.38E-03,0.021,0.402,-0.021,4.7971,0.058,-0.058,1.80E+03,2.54E+01,-2.54E+01,3.36,7.60E-01,-3.30E-01,89.98,,,506,,,15.55,10.51,-4.18,80,34,5586,152,-152,0.798,0.181,-0.077,285.71854,48.505859,15.082
37,11018648,Kepler-230 c,CANDIDATE,0.978,0,0,0,0,91.7732862,7.52E-04,-7.52E-04,193.8378,6.43E-03,-6.43E-03,0.606,0.335,-0.4,6.473,0.204,-0.204,6.52E+02,3.62E+01,-3.62E+01,2.12,4.80E-01,-2.10E-01,89.61,,,359,,,3.92,2.64,-1.06,19.1,11,5586,152,-152,0.798,0.181,-0.077,285.71854,48.505859,15.082
38,11138155,,CANDIDATE,1,0,0,0,0,4.959319244,5.15E-07,-5.15E-07,172.2585292,8.27E-05,-8.27E-05,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9.80E+03,2.00E+01,-2.00E+01,12.21,1.96E+00,-1.46E+00,86.15,,,1103,,,349.4,146.52,-93.21,696.5,269,5712,77,-77,1.082,0.173,-0.13,292.16705,48.727589,15.263
40,11153539,Kepler-666 b,CANDIDATE,1,0,0,0,0,4.49876511,1.78E-05,-1.78E-05,171.34905,3.00E-03,-3.00E-03,0.312,0.154,-0.312,3.7362,0.0934,-0.0934,4.60E+02,1.75E+01,-1.75E+01,2.1,6.50E-01,-2.20E-01,88,,,1133,,,389.62,365.71,-117.4,29.5,238,6075,189,-210,0.969,0.3,-0.1,298.45685,48.791592,15.395
42,9579641,Kepler-105 b,CANDIDATE,1,0,0,0,0,5.412203927,3.05E-06,-3.05E-06,133.143089,4.68E-04,-4.68E-04,0.787,0.005,-0.565,2.9472,0.024,-0.024,6.02E+02,4.00E+00,-4.00E+00,2.94,4.30E-01,-3.80E-01,85.12,,,1093,,,337.68,137.29,-102.18,166.7,244,5779,104,-115,1.087,0.157,-0.142,287.88733,46.276241,12.791
43,11304958,Kepler-667 b,CANDIDATE,0.998,0,0,0,0,41.43958662,7.56E-05,-7.56E-05,208.93203,1.42E-03,-1.42E-03,0.355,0.04,-0.355,10.5989,0.088,-0.088,2.79E+03,2.26E+01,-2.26E+01,5.5,1.57E+00,-9.60E-01,89.31,,,516,,,16.72,14.66,-6.64,141.1,33,5468,180,-164,1.046,0.297,-0.183,295.55505,49.017342,15.4
44,11391957,Kepler-668 b,CANDIDATE,1,0,0,0,0,8.35389523,1.52E-05,-1.52E-05,171.63257,1.33E-03,-1.33E-03,0.023,0.423,-0.023,2.2514,0.0518,-0.0518,1.04E+03,2.82E+01,-2.82E+01,2.52,5.40E-01,-2.40E-01,89.95,,,790,,,91.9,59.06,-24.15,43.4,127,5592,152,-152,0.787,0.169,-0.073,285.49924,49.277351,15.317
45,11403044,Kepler-669 b,CANDIDATE,1,0,0,0,0,4.125543472,3.13E-06,-3.13E-06,169.752585,6.13E-04,-6.13E-04,0.597,0.235,-0.367,3.1744,0.0362,-0.0362,1.49E+03,1.33E+01,-1.33E+01,4.43,1.44E+00,-5.10E-01,85.95,,,1243,,,565.35,542.47,-188.14,128.6,323,6174,173,-239,1.103,0.358,-0.128,291.93616,49.253979,15.506
46,11414511,Kepler-670 b,CANDIDATE,1,0,0,0,0,2.816504904,1.65E-07,-1.65E-07,170.9676846,4.66E-05,-4.66E-05,0.105,0.264,-0.119,2.50587,0.00666,-0.00666,1.68E+04,1.10E+01,-1.10E+01,12.21,1.62E+00,-8.70E-01,89.37,,,1219,,,521.13,184.34,-97.95,1406.8,474,5532,74,-83,0.955,0.127,-0.068,297.01547,49.225288,15.052
48,12110942,Kepler-680 b,CANDIDATE,1,0,0,0,0,3.689920099,8.98E-06,-8.98E-06,170.36571,1.91E-03,-1.91E-03,0.151,0.304,-0.151,2.6557,0.0677,-0.0677,4.27E+02,1.38E+01,-1.38E+01,1.89,5.40E-01,-2.00E-01,89.19,,,1147,,,408.99,342.24,-123.32,35.6,360,5880,157,-192,0.917,0.262,-0.098,291.62241,50.61824,15.242
49,12366084,Kepler-232 b,CANDIDATE,1,0,0,0,0,4.431238488,6.11E-06,-6.11E-06,171.015,1.11E-03,-1.11E-03,0.405,0.041,-0.405,3.15,0.0423,-0.0423,1.01E+03,1.52E+01,-1.52E+01,3.25,4.70E-01,-2.50E-01,87.72,,,1104,,,351.23,135.26,-68.33,71.1,302,5714,77,-77,1.015,0.148,-0.079,295.81616,51.121738,15.367
50,12366084,Kepler-232 c,CANDIDATE,1,0,0,0,0,11.37936986,2.42E-05,-2.42E-05,133.84992,1.83E-03,-1.83E-03,0.911,0.009,-0.656,2.6255,0.073,-0.073,1.02E+03,2.97E+01,-2.97E+01,3.95,5.70E-01,-3.10E-01,86.8,,,806,,,99.68,38.38,-19.39,37.9,109,5714,77,-77,1.015,0.148,-0.079,295.81616,51.121738,15.367
51,12404086,Kepler-681 b,CANDIDATE,1,0,0,0,0,26.39432897,5.72E-05,-5.72E-05,176.05459,1.76E-03,-1.76E-03,0.602,0.25,-0.396,3.573,0.0643,-0.0643,1.51E+03,3.63E+01,-3.63E+01,3.07,4.10E-01,-2.20E-01,89.28,,,489,,,13.49,6.07,-3.21,48.2,51,5129,154,-154,0.763,0.103,-0.055,289.39972,51.25032,15.234
52,8395660,Kepler-106 c,CANDIDATE,1,0,0,0,0,13.57078281,1.59E-05,-1.59E-05,136.279194,9.57E-04,-9.57E-04,0.866,0.015,-0.621,3.3539,0.0489,-0.0489,5.12E+02,6.30E+00,-6.30E+00,2.64,4.00E-01,-2.70E-01,87.07,,,785,,,89.61,38.12,-22.92,88.4,101,5854,105,-117,1.012,0.154,-0.103,300.86398,44.337551,12.882
53,9579641,Kepler-105 c,CANDIDATE,1,0,0,0,0,7.12594387,1.41E-05,-1.41E-05,139.00492,1.59E-03,-1.59E-03,0.898,0.013,-0.699,3.0014,0.0384,-0.0384,1.92E+02,4.40E+00,-4.40E+00,1.79,2.60E-01,-2.30E-01,84.02,,,997,,,233.31,94.86,-70.6,47.1,181,5779,104,-115,1.087,0.157,-0.142,287.88733,46.276241,12.791
55,11754553,Kepler-52 c,CANDIDATE,1,0,0,0,0,16.38489988,5.22E-05,-5.22E-05,172.72782,2.48E-03,-2.48E-03,0.001,0.437,-0.001,3.0249,0.0798,-0.0798,1.13E+03,4.20E+01,-4.20E+01,2,9.00E-02,-1.00E-01,90,,,433,,,8.35,1.49,-1.35,28.9,65,4126,82,-82,0.615,0.027,-0.029,286.73804,49.97575,15.095
56,11754553,Kepler-52 b,CANDIDATE,1,0,0,0,0,7.8774163,1.49E-05,-1.49E-05,176.3759,1.47E-03,-1.47E-03,0.041,0.409,-0.041,2.0805,0.0517,-0.0517,1.31E+03,3.77E+01,-3.77E+01,2.16,9.00E-02,-1.10E-01,89.92,,,553,,,22.18,3.97,-3.59,38.7,135,4126,82,-82,0.615,0.027,-0.029,286.73804,49.97575,15.095
57,11754553,Kepler-52 d,CANDIDATE,1,0,0,0,0,36.4454001,1.81E-04,-1.81E-04,151.60125,3.92E-03,-3.92E-03,0.028,0.437,-0.028,4.007,0.126,-0.126,1.12E+03,5.34E+01,-5.34E+01,1.99,9.00E-02,-9.00E-02,89.98,,,332,,,2.88,0.51,-0.47,21.7,27,4126,82,-82,0.615,0.027,-0.029,286.73804,49.97575,15.095
58,11812062,Kepler-673 b,CANDIDATE,1,0,0,0,0,3.728732147,9.36E-07,-9.36E-07,171.793255,1.95E-04,-1.95E-04,0.558,0.13,-0.149,2.683,0.035,-0.035,5.23E+03,1.85E+01,-1.85E+01,6.02,1.22E+00,-5.20E-01,86.7,,,1023,,,258.34,162.58,-65.21,345.2,357,5497,166,-149,0.809,0.164,-0.07,290.78574,50.054119,15.523
59,11818800,,CANDIDATE,0.999,0,0,0,0,40.4195037,1.14E-04,-1.14E-04,173.56469,2.22E-03,-2.22E-03,0.911,5.567,-0.118,3.362,0.14,-0.14,6.26E+03,2.30E+02,-2.30E+02,7.51,1.12E+00,-9.10E-01,89.05,,,467,,,11.29,5.67,-3.57,36.9,36,5446,179,-163,0.781,0.116,-0.095,294.31686,50.080231,15.487
60,11853255,Kepler-674 b,CANDIDATE,1,0,0,0,0,2.243380573,2.67E-06,-2.67E-06,170.679233,9.00E-04,-9.00E-04,0.915,0.009,-0.63,1.1196,0.0384,-0.0384,8.22E+02,2.56E+01,-2.56E+01,1.99,1.00E-01,-1.20E-01,82.88,,,822,,,107.6,21.47,-20.32,38.9,472,4149,82,-91,0.564,0.03,-0.033,285.17621,50.149818,15.135
62,11918099,Kepler-675 b,CANDIDATE,1,0,0,0,0,2.337437946,1.95E-06,-1.95E-06,171.761982,6.59E-04,-6.59E-04,0.28,0.189,-0.28,1.9982,0.0271,-0.0271,9.71E+02,1.37E+01,-1.37E+01,2.34,1.70E-01,-9.00E-02,88.19,,,1070,,,311.16,69.46,-40.17,82.4,578,5005,79,-79,0.765,0.055,-0.028,293.83331,50.23035,15.334
63,11918099,,CANDIDATE,0.993,0,0,0,0,7.2406612,1.62E-05,-1.62E-05,137.75545,2.00E-03,-2.00E-03,1.198,49.85,-0.258,0.558,0.171,-0.171,5.56E+02,4.41E+01,-4.41E+01,19.45,1.40E+00,-7.10E-01,87.62,,,734,,,68.63,15.32,-8.86,13.7,168,5005,79,-79,0.765,0.055,-0.028,293.83331,50.23035,15.334
64,9579641,,CANDIDATE,0.871,0,0,0,0,3.43591631,4.73E-05,-4.73E-05,132.6624,1.10E-02,-1.10E-02,0.624,0.037,-0.476,3.133,0.407,-0.407,2.32E+01,3.40E+00,-3.40E+00,0.55,8.00E-02,-7.00E-02,84.62,,,1272,,,617.61,251.11,-186.88,8.7,357,5779,104,-115,1.087,0.157,-0.142,287.88733,46.276241,12.791
65,11923270,Kepler-676 b,CANDIDATE,1,0,0,0,0,11.59822233,1.41E-05,-1.41E-05,180.395376,9.23E-04,-9.23E-04,0.679,0.187,-0.47,2.5237,0.052,-0.052,2.80E+03,4.63E+01,-4.63E+01,2.65,2.10E-01,-2.90E-01,88.62,,,396,,,5.82,1.49,-1.63,71,115,3688,73,-91,0.473,0.037,-0.051,296.22195,50.28722,15.937
66,11960862,Kepler-677 b,CANDIDATE,1,0,0,0,0,6.575315881,3.73E-06,-3.73E-06,173.634044,4.55E-04,-4.55E-04,0.39,0.065,-0.306,4.3084,0.0306,-0.0306,2.79E+03,1.49E+01,-1.49E+01,5.31,1.50E+00,-8.10E-01,88.03,,,1015,,,251.38,209.1,-91.63,221.1,205,5992,162,-180,0.989,0.28,-0.151,290.09805,50.321609,15.312
67,12020329,Kepler-678 b,CANDIDATE,1,0,0,0,0,7.275040844,4.68E-06,-4.68E-06,169.994217,5.07E-04,-5.07E-04,0.547,0.052,-0.229,7.5377,0.0681,-0.0681,3.00E+03,1.15E+01,-1.15E+01,4.86,1.05E+00,-3.70E-01,85.29,,,833,,,113.64,75.31,-28.97,312.1,188,5485,164,-180,0.867,0.187,-0.067,295.45529,50.49456,15.08
68,12066335,Kepler-231 c,CANDIDATE,1,0,0,0,0,19.27153892,4.15E-05,-4.15E-05,186.77093,1.82E-03,-1.82E-03,0.031,0.36,-0.031,2.7594,0.0551,-0.0551,1.22E+03,3.53E+01,-3.53E+01,1.93,1.00E-01,-1.20E-01,89.97,,,393,,,5.66,1.13,-1.06,37.1,67,4077,81,-81,0.56,0.03,-0.034,293.97336,50.53191,15.385
69,12066335,Kepler-231 b,CANDIDATE,1,0,0,0,0,10.06524317,1.49E-05,-1.49E-05,136.28906,1.19E-03,-1.19E-03,0.628,0.003,-0.478,1.369,0.0393,-0.0393,1.05E+03,3.92E+01,-3.92E+01,1.91,1.00E-01,-1.20E-01,89.22,,,488,,,13.43,2.69,-2.5,30.3,126,4077,81,-81,0.56,0.03,-0.034,293.97336,50.53191,15.385
70,12070811,Kepler-679 b,CANDIDATE,1,0,0,0,0,12.3935651,3.93E-05,-3.93E-05,178.74725,2.45E-03,-2.45E-03,0.883,0.033,-0.64,3.8896,0.0834,-0.0834,9.17E+02,2.91E+01,-2.91E+01,2.66,5.40E-01,-2.30E-01,86.13,,,677,,,49.68,31.16,-12.97,35.8,107,5557,166,-166,0.75,0.152,-0.065,296.02133,50.56778,15.505
71,8395660,Kepler-106 e,CANDIDATE,0.998,0,0,0,0,43.84439721,9.61E-05,-9.61E-05,151.93538,1.92E-03,-1.92E-03,0.852,0.039,-0.585,6.802,0.119,-0.119,6.15E+02,7.70E+00,-7.70E+00,2.87,4.30E-01,-3.00E-01,88.27,,,531,,,18.77,7.98,-4.8,83.7,29,5854,105,-117,1.012,0.154,-0.103,300.86398,44.337551,12.882
74,3342970,Kepler-234 b,CANDIDATE,1,0,0,0,0,2.711504086,3.80E-06,-3.80E-06,170.03417,1.11E-03,-1.11E-03,0.023,0.405,-0.023,3.0099,0.0423,-0.0423,8.38E+02,1.45E+01,-1.45E+01,3.12,1.02E+00,-3.40E-01,89.81,,,1420,,,960.79,931.74,-309.76,64.5,494,6214,174,-239,1.076,0.353,-0.118,291.65353,38.494659,15.541
75,3342970,Kepler-234 c,CANDIDATE,1,0,0,0,0,7.21203748,1.55E-05,-1.55E-05,172.81782,1.63E-03,-1.63E-03,0.012,0.394,-0.012,4.0491,0.058,-0.058,9.50E+02,1.95E+01,-1.95E+01,3.32,1.09E+00,-3.60E-01,89.95,,,1025,,,260.58,252.7,-84.01,51.5,165,6214,174,-239,1.076,0.353,-0.118,291.65353,38.494659,15.541
77,12470844,Kepler-233 b,CANDIDATE,1,0,0,0,0,8.47237911,1.56E-05,-1.56E-05,174.16212,1.49E-03,-1.49E-03,0.022,0.378,-0.022,2.7245,0.0484,-0.0484,1.12E+03,2.67E+01,-2.67E+01,2.59,3.70E-01,-2.20E-01,89.95,,,751,,,75.44,35.44,-19.3,47.6,159,5354,159,-159,0.788,0.113,-0.066,296.36652,51.319519,15.339
78,12470844,Kepler-233 c,CANDIDATE,0.989,0,0,0,0,60.4189369,5.04E-04,-5.04E-04,181.16367,6.25E-03,-6.25E-03,0.094,0.359,-0.094,5.039,0.184,-0.184,9.31E+02,4.96E+01,-4.96E+01,2.36,3.40E-01,-2.00E-01,89.94,,,390,,,5.49,2.58,-1.4,20.1,22,5354,159,-159,0.788,0.113,-0.066,296.36652,51.319519,15.339
79,12644822,Kepler-682 b,CANDIDATE,1,0,0,0,0,12.61190435,6.65E-06,-6.65E-06,180.892284,4.13E-04,-4.13E-04,0.55,0.065,-0.128,5.1497,0.0592,-0.0592,6.11E+03,2.76E+01,-2.76E+01,7.4,2.20E+00,-7.30E-01,88.17,,,753,,,76.15,66.33,-21.39,277.2,104,5795,156,-173,0.919,0.273,-0.091,289.11221,51.737381,15.14
82,2713049,Kepler-683 b,CANDIDATE,1,0,0,0,0,2.539183147,5.07E-06,-5.07E-06,169.67494,1.60E-03,-1.60E-03,0.238,0.198,-0.238,2.4282,0.0559,-0.0559,3.82E+02,1.14E+01,-1.14E+01,2.06,2.90E-01,-2.80E-01,88.28,,,1332,,,743.09,290.34,-212.44,38.9,528,5519,82,-74,1.062,0.154,-0.14,291.43997,37.905659,15.026
83,3114167,Kepler-684 b,CANDIDATE,1,0,0,0,0,6.770300385,9.54E-06,-9.54E-06,170.57662,1.08E-03,-1.08E-03,0.838,0.083,-0.589,2.0844,0.0454,-0.0454,1.30E+03,2.97E+01,-2.97E+01,2.77,4.60E-01,-1.50E-01,86.84,,,812,,,102.87,53.88,-21.24,50.8,200,5653,166,-166,0.679,0.112,-0.037,290.87051,38.273628,15.591
85,3115833,,CANDIDATE,1,0,0,0,0,10.181584,6.19E-06,-6.19E-06,177.141891,4.83E-04,-4.83E-04,0.92,0.007,-0.005,3.5089,0.0331,-0.0331,5.74E+03,5.32E+01,-5.32E+01,7.73,2.17E+00,-7.20E-01,85.87,,,812,,,102.91,86.75,-28.91,183.6,129,5988,179,-197,0.836,0.234,-0.078,291.28195,38.241669,15.657
86,4139816,Kepler-235 d,CANDIDATE,1,0,0,0,0,20.06036336,5.84E-05,-5.84E-05,147.46554,2.41E-03,-2.41E-03,0.556,0.323,-0.368,3.3203,0.0754,-0.0754,1.49E+03,4.51E+01,-4.51E+01,1.96,1.30E-01,-1.60E-01,89.21,,,361,,,4,0.89,-0.9,35.2,59,3950,70,-86,0.493,0.033,-0.04,286.07913,39.27832,15.954
87,4139816,Kepler-235 e,CANDIDATE,1,0,0,0,0,46.1842039,2.65E-04,-2.65E-04,165.23729,4.30E-03,-4.30E-03,0.013,0.415,-0.013,4.758,0.13,-0.13,1.39E+03,5.64E+01,-5.64E+01,1.83,1.20E-01,-1.50E-01,89.99,,,273,,,1.32,0.29,-0.3,26,25,3950,70,-86,0.493,0.033,-0.04,286.07913,39.27832,15.954
